,count,mean,std,min,P10,P25,P50,P75,P90,max
return_on_equity_pct,92.0,38.56010869565218,32.6440839092441,4.67,10.205,15.605,26.925,56.005,74.08000000000001,177.97
debt_to_equity,92.0,0.586195652173913,0.46044136110242717,0.0,0.051,0.205,0.535,0.865,1.2480000000000002,1.77
revenue_cagr_5yr,92.0,15.615652173913045,4.0953332605601425,8.22,9.89,12.1125,15.725000000000001,19.4875,20.875,21.72
operating_profit_margin_pct,92.0,19.0195652173913,5.649146568442345,10.47,11.550999999999998,14.0825,18.6,24.6975,26.382,28.5
net_profit_margin_pct,92.0,14.630217391304347,4.345497095519309,8.05,8.888,10.83,14.305,19.0,20.294,21.92
interest_coverage,92.0,105.83141304347826,295.7434580090052,2.78,4.5600000000000005,6.3575,9.69,12.8575,14.958000000000002,999.0
asset_turnover,92.0,1.6541304347826091,1.2922364565832702,0.23,0.532,0.88,1.35,1.96,3.0830000000000015,9.24
composite_quality_score,92.0,47.6195652173913,30.075707984981797,15.84,23.922,29.055,37.739999999999995,53.48,85.14600000000003,176.97
